order_id,cust_id,amount_cents,order_date
2680638,7854304,189321,2026-08-22 09:46:51
958697,397392,37134,2026-06-13 02:15:34
7490714,3317843,68394,2021-04-29 15:24:26
8415178,1053437,56302,2025-08-26 08:44:45
7847275,1344514,104879,2024-12-15 03:30:35
147231,7551116,97616,2025-08-25 01:27:39
2562376,4639701,126111,2026-05-23 17:54:34
227121,1592941,221447,2025-07-12 02:55:17
6703171,9259400,22798,2026-01-23 19:21:50
4654362,1053437,185213,2023-12-20 16:08:51
9201874,5016495,13531,2025-03-12 11:02:43
6436944,1592941,63880,2024-04-06 08:20:47
8698138,9696351,49621,2021-02-15 04:18:15
5041574,7441865,169016,2025-01-23 01:13:33
3793711,538793,248661,2025-09-05 12:39:57
3177600,5368355,97847,2017-12-26 00:47:34
4395109,9629448,43079,2024-01-06 03:59:07
7986905,7551116,37462,2018-02-27 15:20:52
472947,4098056,33624,2020-11-18 21:54:17
9542960,5016495,88380,2024-07-15 02:31:43
896491,8737281,262057,2024-02-16 07:55:40
4708811,2497555,194168,2024-10-07 15:08:37
8080966,4747731,117708,2022-08-10 19:38:05
3851996,4115371,100854,2025-05-09 07:55:48
2644614,5496388,163196,2024-11-18 08:21:51
5240351,7998020,35505,2020-09-21 15:02:22
8869072,5883652,113010,2022-01-20 03:53:22
9469844,4729265,23041,2023-04-11 19:03:22
6779115,9918069,274770,2025-11-22 23:55:33
1422407,538793,257403,2025-06-05 01:49:00
3931581,4652082,195073,2026-08-11 22:24:59
5932341,9629448,36575,2025-09-26 04:32:39
7051446,9813340,205988,2021-09-13 10:13:33
4176564,322288,112265,2025-03-23 22:19:10
5449635,4028344,177091,2026-08-31 07:58:48
1591124,9696351,22416,2024-02-25 09:08:58
2895360,1828920,133841,2025-02-04 20:33:04
2066712,7846369,47268,2021-09-11 11:48:10
7064688,9472435,148673,2024-12-16 18:47:27
5877079,4652082,17835,2026-08-30 14:08:53
2413128,86954,62346,2025-08-21 00:05:21
1742894,3179668,33618,2026-02-15 04:04:06
1346067,1209512,14511,2024-07-26 13:20:14
3771364,3688382,80370,2026-08-06 01:27:34
7799905,3134598,47268,2025-05-03 00:20:28
7636332,8020685,139026,2025-10-22 16:52:34
3732804,5883652,4165,2019-05-03 13:11:36
6807949,9918069,96796,2026-06-23 18:30:28
9310263,9813340,209215,2020-05-29 21:22:55
4045419,1592941,278861,2021-09-02 16:32:45
7321242,4729265,103347,2026-03-25 20:33:07
3752952,9813340,286985,2018-09-16 15:39:52
4923527,9472435,119217,2025-08-30 16:21:00
5097299,7817100,2139,2025-10-30 08:03:23
1477033,397392,4278,2025-04-19 01:35:46
5573735,4085382,189875,2026-01-29 05:29:32
3843240,6171153,141330,2024-03-30 17:10:40
9632212,5496388,155510,2024-09-04 20:54:47
2393886,1053437,227235,2025-12-26 07:29:12
781360,4528862,141645,2026-02-02 09:13:39
7994941,397392,266266,2026-07-28 16:00:41
8766818,9918069,96135,2025-12-12 07:00:09
7375500,4888349,193594,2022-07-07 18:22:12
7097987,9696351,199818,2024-11-09 15:41:29
4318340,8178283,69288,2024-06-14 17:18:50
625926,8163606,207387,2025-10-26 07:08:19
1048671,970435,203572,2021-08-17 12:40:31
3749110,9696351,166431,2022-07-18 03:06:08
7986406,6128366,41698,2026-03-08 20:03:12
5984406,535831,23041,2018-10-21 17:46:13
5378808,1828920,206910,2023-08-21 08:37:08
3537027,8595063,230132,2026-07-24 11:14:51
3428184,3134598,71010,2025-07-23 08:36:37
9304213,5496388,117240,2025-06-28 06:16:22
1182295,2823745,43302,2026-02-24 10:03:00
1308099,798429,51632,2017-01-29 20:56:05
3875228,1040196,55726,2025-10-29 05:41:01
6552970,1592941,121388,2023-05-25 04:07:05
1274842,8178283,162758,2023-04-08 12:19:49
2902362,970435,303491,2018-08-27 15:36:58
4403968,2463650,180067,2017-09-03 11:12:39
9031875,1534098,111162,2024-08-25 18:14:07
7673230,4083605,142616,2022-02-14 13:17:33
2997803,9813340,163073,2020-08-06 09:05:49
6313005,535831,29939,2017-08-21 10:13:00
4500292,1344514,143139,2026-02-08 01:48:27
3596695,1053437,160819,2025-08-03 21:17:03
2117728,6128366,286553,2020-03-15 11:16:26
8718932,4729265,28932,2024-05-22 11:08:10
6564905,6171153,47268,2021-06-18 05:09:25
2830089,9259400,151378,2023-11-27 11:37:02
7424363,7621602,23041,2022-10-08 22:05:44
6739030,1209512,156563,2025-12-14 01:57:25
3908402,970435,213260,2021-11-10 02:54:03
2897490,4714915,239132,2025-01-04 01:54:44
1402047,7335577,191577,2026-06-23 23:55:42
7297788,7261881,299427,2023-10-23 09:29:25
7603450,7261881,71284,2024-11-28 01:43:13
4990643,7817100,142752,2024-08-14 02:30:28
2754471,1828920,246205,2024-07-04 07:53:35
5303563,5496388,98365,2024-02-27 18:52:03
7648961,535831,80293,2019-04-28 17:42:02
3310214,538793,143550,2026-07-17 16:29:28
3732280,6432433,106515,2026-08-27 10:41:42
4847246,1876742,50054,2023-12-14 00:44:33
7716448,8096599,149288,2024-03-12 09:56:18
3091418,9469056,171562,2022-03-13 16:27:37
8105683,5368355,56183,2022-08-13 01:01:14
9534084,3134598,94903,2022-07-06 05:05:47
6742111,7441865,141382,2025-09-29 19:08:37
4978321,1344514,201277,2025-02-20 05:42:24
3662326,6087883,101099,2026-08-19 07:48:11
604391,5774016,234737,2024-11-15 05:46:09
6539053,3134598,68478,2026-03-17 15:55:49
6068483,1344514,186560,2024-08-05 00:14:02
3207518,1695520,13676,2023-03-05 06:13:54
9058998,8737281,116815,2026-09-01 15:06:57
3332438,6572963,134271,2024-03-12 16:50:52
9488145,7814484,378876,2025-12-23 15:24:55
7039177,4888349,65286,2023-02-14 01:05:54
2359745,7621602,233611,2025-02-13 00:14:40
1283583,5139970,119778,2026-06-21 10:01:53
4735648,397392,198082,2020-11-02 04:16:43
4035630,1344514,106654,2025-09-02 00:55:18
8644889,5368355,123189,2024-05-03 12:54:21
3172920,5117582,133950,2023-03-02 04:30:11
9785247,7992623,37670,2025-06-28 14:32:46
8520975,8322130,157337,2025-12-08 23:16:01
88400,6767260,222667,2025-02-25 22:10:20
5774664,5496388,163457,2026-06-27 09:59:57
4337339,8096599,56302,2020-12-28 21:11:06
5746885,4747731,107036,2024-08-26 23:10:54
2809386,7261881,86965,2026-02-06 03:21:12
4924362,1695520,192379,2019-10-09 02:39:45
8158681,1209512,24200,2025-10-11 14:11:14
1077203,1876742,118444,2022-07-24 07:21:11
9666445,8083692,61768,2023-03-18 08:14:23
5234851,4714915,99500,2025-10-08 09:28:12
9234936,9813340,163928,2022-01-22 01:28:24
1387503,3551711,27062,2023-06-12 23:17:50
3898858,9629448,115875,2025-06-18 22:42:35
9874582,6171153,240772,2021-09-05 17:14:03
6240958,1534098,119438,2023-11-02 08:37:58
3656266,7062452,219494,2023-10-07 01:39:58
9799674,938845,229573,2021-05-22 14:02:39
6864408,711865,249381,2025-07-27 08:42:41
3679834,2220074,149751,2026-06-14 23:48:51
6987550,9472435,37837,2026-04-22 21:50:23
426300,2220074,143658,2026-08-28 13:31:50
3510283,2733014,2603,2025-06-03 19:54:10
8291323,8178283,145750,2023-05-17 14:51:04
4574506,3330147,110246,2025-09-18 20:14:44
4303664,7904311,234699,2021-05-11 08:54:06
3258313,1053437,337979,2023-12-11 00:59:21
3046628,7551116,28896,2021-06-26 00:17:19
9978550,1534098,67677,2024-05-10 03:32:50
9979404,7998020,49567,2026-03-09 01:20:05
7608570,9472435,14434,2024-07-24 15:00:40
4342175,7405600,269424,2025-03-27 14:41:52
6111940,7904311,67236,2021-04-26 23:10:02
7590846,3551711,97527,2024-02-25 14:32:31
441083,7441865,23932,2025-06-01 16:17:58
6717382,5139970,204977,2026-01-17 13:30:13
1741647,4098056,30367,2023-05-01 16:28:15
4532985,8096599,58472,2022-04-26 14:02:42
9733007,6767260,52354,2024-03-12 09:54:33
6875392,3134598,103918,2023-10-17 21:17:51
5824346,4740431,166743,2020-12-09 08:16:45
8895014,9918069,232683,2026-06-29 01:25:41
3651537,2497555,117313,2024-12-29 19:52:00
5389137,5496388,71284,2026-01-19 05:56:59
9419291,7551116,142966,2025-01-23 18:15:09
680340,6236955,311231,2021-07-01 00:56:00
9333033,8737281,24200,2026-05-03 17:26:18
7190456,4098056,2603,2026-06-26 17:38:30
7695973,2497555,70758,2025-05-14 06:48:16
5008859,5774016,161815,2023-07-09 13:34:08
5294403,4552386,129012,2026-09-04 11:59:08
3405086,1344514,76233,2025-05-30 23:10:23
9563684,6572963,7006,2023-03-08 17:39:20
5794809,8322130,87398,2022-09-12 11:52:10
9820458,4888349,41698,2023-08-25 10:43:53
7594558,1612043,92896,2022-12-23 21:47:23
1545569,9918069,54543,2026-04-09 08:21:28
812089,1040196,78315,2026-01-29 08:25:20
4145462,4888349,27062,2023-01-13 00:10:01
761143,1053437,55671,2024-11-01 07:17:19
7169374,9813340,126430,2021-07-29 09:26:32
6818403,322288,242906,2025-10-12 09:37:55
1822781,8163606,17835,2026-07-19 01:23:14
7280009,4115371,75921,2026-03-13 16:15:55
8205902,7335577,88721,2022-06-01 10:47:25
2456712,8737281,240071,2025-03-10 13:44:12
4816867,7261881,241822,2025-09-10 03:29:05
5215610,2823745,352274,2022-05-11 07:17:16
8852904,7603487,103152,2026-08-08 10:13:03
3944378,4528862,6717,2025-09-18 13:34:22
5610130,938845,46331,2021-09-25 05:36:48
6928556,6087883,136490,2026-08-08 05:30:53
151441,8178283,204210,2024-09-27 23:58:44
4229736,1445829,11521,2024-02-10 08:07:52
9181558,4740431,95605,2021-06-21 12:40:37
7770639,4028344,12394,2026-08-23 23:41:40
8890399,9813340,149230,2018-08-27 09:50:22
7221317,1445829,205464,2025-01-09 10:05:57
6401003,9469056,141138,2024-05-07 03:23:08
3980830,9469056,207754,2024-08-10 14:03:36
7971614,4528862,197463,2026-07-07 15:00:30
734558,5016495,75921,2024-06-07 01:57:01
9856669,9259400,110034,2024-12-02 08:47:50
1775311,711865,54139,2021-05-13 15:26:46
2526202,1585993,56302,2019-11-19 11:28:16
5597951,5117582,12495,2024-05-28 18:01:52
113068,8552897,267870,2024-12-15 20:28:03
761934,7603487,118109,2022-01-20 19:42:00
2816073,4639701,66596,2026-06-22 17:18:08
5910182,9918069,296626,2026-08-03 17:52:54
785719,4528862,126214,2025-10-21 15:44:29
5767644,7062452,45596,2025-01-08 20:01:54
2569086,5016495,136692,2023-01-26 21:25:45
4041239,538793,117324,2025-09-07 18:09:29
8631448,970435,75920,2025-04-01 21:16:01
1866656,7904311,103970,2026-06-19 05:08:21
5331051,8096599,133577,2024-12-31 03:10:18
99249,1040196,156748,2025-09-02 23:26:28
1387877,7992623,183055,2025-04-22 08:39:45
6475442,535831,209273,2022-11-16 21:28:28
7479337,8591718,218452,2025-03-08 04:49:01
8588796,5733441,31512,2021-08-16 11:29:53
7903634,1053437,60227,2026-01-18 00:17:18
9363776,2733014,28932,2026-06-03 01:51:48
6310049,3317843,14892,2022-06-02 14:29:49
7812112,8163606,75921,2026-08-22 21:37:48
9676780,1040196,214788,2025-06-09 22:11:01
9868528,8595063,85849,2025-12-14 16:30:44
5573986,2226699,317560,2021-07-04 11:10:10
8392420,9259400,184712,2023-12-25 06:28:10
3964622,998246,200362,2026-03-08 17:45:38
142678,938845,32067,2025-01-30 05:05:10
6290676,7854304,13156,2026-07-10 18:36:23
4249543,7551116,2139,2023-12-07 08:46:52
9072201,5525355,71284,2024-02-20 09:01:01
5149334,7441865,178946,2026-01-22 17:26:59
1631102,8178283,204576,2023-12-19 12:00:21
197724,4083605,191892,2022-04-15 11:46:47
3093766,1695520,139747,2019-11-19 14:32:37
1676009,1585993,47268,2018-04-17 07:59:18
1427852,5016495,84453,2021-01-18 10:02:10
6635700,1445829,108707,2026-01-24 22:49:32
9031735,6767260,168868,2026-01-25 23:29:58
4434234,998246,119473,2026-07-12 20:03:23
8059038,4098056,89903,2021-01-05 00:20:23
4861850,8595063,85744,2026-02-25 14:45:50
356198,7335577,94278,2025-09-08 08:20:28
7551147,5774016,214617,2025-10-02 14:20:34
4610234,7621602,191206,2025-09-23 05:53:22
8230706,998246,201998,2026-02-24 00:12:16
2852288,3688382,186006,2022-01-30 09:36:58
9805657,6171153,160402,2024-02-21 17:01:47
8700229,8178283,33799,2025-04-29 22:18:22
60393,6767260,60573,2025-11-17 14:02:18
7223935,3330147,5206,2023-06-28 04:08:30
2892778,7846369,253310,2021-02-26 03:07:17
6608321,6171153,54239,2024-02-13 00:37:53
4828511,7904311,152287,2022-10-16 22:31:54
4689074,4714915,43151,2026-04-17 13:30:08
828750,1828920,6197,2024-09-19 15:59:38
9579835,9918069,125419,2025-09-20 18:09:32
8775844,1040196,109065,2026-05-20 09:19:27
3659905,7998020,97995,2026-05-23 04:51:35
1058001,7817100,169996,2025-07-21 13:50:55
2398319,3179668,240339,2026-03-10 17:12:55
3688511,9629448,89817,2023-01-26 15:48:32
6781126,1673370,188102,2026-06-13 07:41:58
6688559,1585993,195674,2019-01-13 04:02:07
6352721,9261661,246175,2026-06-04 02:49:15
7693766,6572963,106109,2020-03-30 12:09:08
4521352,8322130,131926,2021-12-24 22:53:58
8698208,3330147,21926,2024-04-02 22:03:04
3571821,4083605,83299,2026-03-09 23:07:36
6618887,8591718,243160,2025-07-15 08:57:58
3216313,711865,37322,2023-01-31 07:52:18
3764768,5368355,58395,2022-06-25 09:26:51
5737291,8737281,100854,2024-07-28 00:44:09
1174806,4528862,120723,2025-06-14 04:01:38
9178129,8083692,58768,2021-08-07 02:26:44
813813,6171153,162407,2023-01-25 15:59:19
5071022,7817100,33477,2025-10-17 21:20:10
6380614,7998020,43302,2025-04-05 10:19:56
6694480,3134598,53441,2024-01-23 10:39:37
8256722,8083692,157616,2024-05-10 07:24:42
7230488,7441865,188063,2024-05-03 19:45:24
7082258,9918069,187078,2026-01-08 14:20:40
5197923,6572963,85160,2019-01-31 05:24:57
3126665,9813340,10689,2024-01-29 02:27:51
4003633,3688382,233944,2022-04-18 07:07:53
352535,2463650,81669,2018-09-10 19:45:35
4164715,4083605,14511,2025-02-26 11:27:47
5585949,6128366,126857,2021-06-08 17:38:47
2528088,1040196,104163,2026-02-12 06:17:21
6167005,86954,19465,2026-07-05 08:29:28
2188139,1585993,227436,2022-04-06 19:51:51
3660589,1534098,212251,2022-12-28 09:49:21
5811028,6171153,133960,2025-01-11 11:46:07
6757752,1534098,179588,2022-10-16 22:02:02
5740330,4085382,120543,2026-01-03 23:41:32
839013,397392,152709,2021-01-10 01:05:34
1858987,2463650,221722,2018-07-05 15:00:08
6124283,7261881,55986,2024-07-30 11:58:13
4470228,9629448,96245,2025-11-07 06:44:05
1409032,4098056,233922,2025-12-25 20:37:18
2378095,8083692,197759,2025-02-05 01:02:26
2179968,1585993,198196,2021-01-12 03:40:44
4525469,4652082,41301,2026-04-16 09:17:42
6845234,8020685,147572,2022-02-13 22:12:42
5361738,8163606,322267,2026-08-12 01:04:02
3795364,970435,198093,2017-08-30 02:35:11
6109549,1592941,111959,2023-08-06 18:11:26
5751761,5883652,106666,2020-10-06 22:36:58
4545581,5525355,178537,2026-07-01 05:19:04
965627,8178283,13156,2025-05-23 10:47:17
7564232,8322130,125932,2025-12-21 06:45:53
4851722,3317843,97477,2023-02-28 01:12:47
5772251,4083605,52606,2022-02-07 23:38:06
1654991,4098056,112768,2021-02-17 04:38:44
6789677,8591718,36678,2025-08-27 19:11:50
5849643,1344514,22798,2024-07-14 06:56:08
4861816,4528862,96942,2025-08-31 02:24:43
3685560,7441865,227579,2024-09-18 12:01:38
2912495,7335577,93535,2021-09-16 17:34:48
173461,397392,127329,2021-05-01 04:38:09
6752719,3688382,67107,2023-04-02 20:15:55
9662313,4714915,302071,2025-09-16 01:17:24
2643568,8083692,91162,2026-04-29 23:38:23
4196045,1673370,112960,2019-04-18 01:53:28
3189752,7846369,43302,2023-07-23 23:37:55
4692553,4714915,137484,2024-09-14 16:19:21
2112278,5016495,212278,2021-06-02 14:00:27
9428381,9469056,26790,2024-06-17 17:23:43
1424314,6767260,131959,2025-10-14 03:02:13
9148629,3330147,113730,2026-04-26 11:59:54
9160980,5139970,53580,2026-04-22 23:25:16
688504,1673370,177783,2021-11-26 14:39:51
9332209,1209512,78799,2024-05-27 17:05:40
3255912,4085382,21926,2026-05-20 03:37:49
6658864,7261881,186874,2026-08-28 13:01:41
5150772,5733441,191756,2026-04-19 06:09:12
2927848,9472435,110378,2024-09-23 00:34:04
2023443,5368355,47988,2026-06-15 02:44:08
7595834,7441865,75921,2026-07-19 23:49:22
9026486,1592941,23004,2024-08-01 10:42:43
6424787,4714915,19734,2024-03-29 17:41:11
9660001,7817100,225671,2022-09-21 07:57:49
1905084,2823745,234039,2023-05-09 08:37:33
8230322,4888349,162466,2022-05-21 00:26:45
3523584,5727929,52098,2020-05-31 17:44:11
1457973,4888349,115462,2023-04-22 22:58:13
979696,7062452,48323,2025-06-22 07:02:57
8228296,5774016,108892,2025-05-14 11:38:55
3444430,1695520,45500,2024-01-24 04:00:57
9009229,6572963,121260,2023-04-07 07:45:47
2335474,7817100,196308,2022-02-21 21:01:58
9593430,9469056,211812,2025-01-13 05:07:10
2351859,9813340,169308,2020-11-03 05:08:10
7061080,5774016,28151,2023-12-24 01:59:48
1636824,8595063,200535,2025-11-18 18:59:30
3764487,7405600,21245,2025-07-26 06:42:27
5111160,6767260,183559,2025-08-23 07:49:48
3586471,8096599,150649,2026-07-27 02:19:58
129167,538793,283761,2025-12-08 11:42:22
6640186,1344514,122777,2026-03-26 00:43:36
8336058,1534098,492516,2023-07-17 18:30:53
4132887,4639701,45285,2026-07-14 01:29:54
9492081,7621602,19573,2026-07-24 18:50:42
8073389,2226699,44484,2024-06-14 05:21:48
4548499,5368355,65433,2019-05-23 18:43:34
1647,4083605,240279,2024-03-22 00:48:48
652226,4740431,284791,2021-11-24 23:08:50
2987567,3179668,74358,2026-01-28 15:27:33
1567135,2226699,90642,2021-12-01 06:17:06
9934216,3179668,6838,2026-04-14 04:00:27
9449251,4714915,210117,2024-09-01 21:30:45
28722,8322130,148354,2024-05-06 20:43:41
6964612,7261881,4904,2025-06-24 13:08:46
4234902,86954,247326,2024-10-24 10:08:50
8355276,7062452,182352,2026-01-17 05:04:16
6459052,7261881,96646,2024-02-10 06:03:32
8568448,1534098,28014,2024-02-06 04:19:34
8547888,2220074,256505,2026-07-12 08:03:33
8338220,7854304,14511,2026-07-20 12:00:45
4145424,397392,179315,2020-05-06 22:03:55
9899626,1053437,174723,2023-09-30 01:15:22
3638601,7904311,155891,2023-05-13 06:23:55
5541296,6572963,247436,2025-04-11 18:46:09
1999750,9696351,6717,2024-01-01 18:22:29
2966082,9696351,160133,2023-03-27 16:13:31
173956,4115371,41286,2025-06-04 03:03:06
8499237,8591718,244328,2025-01-10 02:21:11
4667184,7062452,327214,2023-04-09 19:24:00
7918458,322288,147206,2024-05-24 20:55:04
1217758,8163606,139350,2026-05-28 13:30:25
1610937,9261661,58365,2026-04-06 10:37:16
1234932,2823745,363002,2024-05-15 20:46:39
9238512,4639701,105767,2026-06-19 19:09:59
7212595,5883652,255633,2025-11-20 10:32:16
3971338,1585993,141123,2021-09-07 16:19:49
7584852,6087883,84453,2026-07-18 21:02:36
3558324,9629448,78043,2022-05-20 18:18:56
1765741,7335577,50614,2022-05-04 12:29:35
4146965,9472435,15756,2025-11-24 23:27:09
8330684,2226699,158720,2025-12-07 06:42:41
1624224,1828920,190895,2023-11-23 21:09:27
1149274,8552897,251866,2026-07-08 19:42:43
8972024,9259400,72059,2026-03-17 19:55:11
682369,4115371,117752,2025-11-23 17:08:22
1809113,9261661,58395,2026-02-16 00:55:26
9168359,970435,10509,2017-02-23 09:10:27
3281334,4115371,221614,2025-10-29 09:44:56
6071357,8020685,22559,2024-10-30 07:25:59
8810180,8737281,161051,2024-06-29 18:25:27
4330912,3551711,184827,2023-01-10 12:16:14
7527645,7846369,23783,2025-10-09 13:59:54
9330508,4085382,33068,2024-01-20 05:49:22
1803796,7992623,134544,2023-12-09 17:39:55
9434378,7551116,60098,2025-10-12 21:08:10
4010627,4639701,23041,2026-04-06 00:12:16
6437811,535831,58395,2023-05-13 08:01:56
2361980,7854304,176950,2026-07-26 14:41:55
7125589,7846369,95074,2022-03-12 12:35:42
8943419,9813340,146425,2020-10-20 12:26:51
773558,1534098,41698,2024-01-13 00:41:36
2937938,8342693,26202,2022-07-11 09:13:31
308409,5139970,124797,2026-08-26 08:01:31
2382301,322288,264480,2024-03-21 11:17:25
7076738,4747731,222955,2022-08-20 04:11:25
4374070,9696351,198616,2022-05-13 00:52:07
720145,397392,186882,2023-04-08 01:37:09
491085,538793,123518,2025-09-22 05:32:30
6457540,4747731,106398,2025-09-04 22:18:56
4837638,9472435,6578,2025-09-01 20:08:44
1351012,8096599,158424,2025-05-25 13:10:39
2968128,8342693,55239,2019-04-08 12:50:54
1473091,5727929,59248,2022-11-03 12:49:49
349321,7992623,74310,2021-03-19 17:17:50
1044029,6767260,336450,2025-03-06 15:46:16
9023152,538793,193308,2026-09-02 19:46:46
2814255,7904311,271230,2026-07-21 13:38:29
6447844,970435,142868,2020-04-06 19:04:21
9004319,9813340,97890,2022-05-30 13:02:03
5386262,1876742,83125,2022-12-24 15:02:21
6855951,9259400,145859,2024-03-29 06:38:48
7082040,4115371,121260,2025-11-08 08:33:24
4248312,7441865,106926,2023-05-29 11:29:37
2967697,3551711,149134,2025-09-02 17:32:59
2763302,1876742,25411,2024-11-23 10:30:42
8754067,397392,75756,2024-11-04 10:41:18
2110403,1344514,193687,2026-01-04 07:35:32
3582954,3179668,41428,2026-05-08 01:52:43
